epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1894.61,0.86117,0.60647,0.95314,0.36622,0.46953,0.3449,0.20641,1.4341,1.99017,1.14512,0.000212349,0.000212349,0.000212349
88,1915.35,0.86724,0.60616,0.96843,0.33906,0.47855,0.34064,0.20224,1.44713,1.96597,1.15399,0.000198202,0.000198202,0.000198202
89,1939.43,0.89006,0.61104,0.96587,0.33908,0.49092,0.33354,0.19747,1.44698,1.96348,1.15184,0.000184055,0.000184055,0.000184055
90,1962.09,0.85227,0.60798,0.95413,0.31053,0.50139,0.32471,0.1931,1.45828,1.99525,1.15317,0.000169908,0.000169908,0.000169908
91,1997.48,0.86435,0.67395,0.94064,0.32306,0.43476,0.30624,0.17959,1.47712,2.10689,1.16087,0.000155761,0.000155761,0.000155761
92,2020.57,0.81237,0.56664,0.92222,0.33925,0.4411,0.30362,0.18217,1.4717,2.14013,1.1608,0.000141614,0.000141614,0.000141614
93,2043.6,0.80772,0.57312,0.91697,0.32777,0.45662,0.29436,0.17972,1.45777,2.16168,1.15842,0.000127467,0.000127467,0.000127467
94,2064.24,0.77877,0.52803,0.91947,0.35909,0.41586,0.29029,0.17586,1.4478,2.13383,1.1561,0.00011332,0.00011332,0.00011332
95,2084.95,0.80338,0.5362,0.91628,0.34713,0.41586,0.28708,0.174,1.43981,2.14725,1.15582,9.91726e-05,9.91726e-05,9.91726e-05
96,2107.16,0.77202,0.52714,0.91898,0.30241,0.44748,0.28328,0.16972,1.44563,2.14276,1.15703,8.50255e-05,8.50255e-05,8.50255e-05
97,2126.65,0.78336,0.51998,0.90304,0.28751,0.46101,0.28407,0.17372,1.44886,2.14394,1.15731,7.08784e-05,7.08784e-05,7.08784e-05
98,2149.35,0.75469,0.49911,0.89958,0.36319,0.36809,0.29083,0.18036,1.44465,2.12778,1.15179,5.67313e-05,5.67313e-05,5.67313e-05
99,2172.23,0.77973,0.49968,0.90954,0.36321,0.38114,0.30167,0.18842,1.44203,2.11649,1.15169,4.25842e-05,4.25842e-05,4.25842e-05
100,2195.41,0.74892,0.49988,0.90261,0.31006,0.4502,0.30686,0.19059,1.44728,2.12206,1.15241,2.84371e-05,2.84371e-05,2.84371e-05
